en,az,ru
ID card · front,Şəxsiyyət vəsiqəsi · ön,Удостоверение · лицевая
Identity & licence,Şəxsiyyət və vəsiqə,Личность и права
Included distance,Daxil olan məsafə,Включённый пробег
Inside,Salon,Салон
Inside the car,Salon,Салон
Instant Book,Dərhal sifariş,Мгновенная бронь
Instant Book: renters book right away. Turn it off to approve each request yourself.,Dərhal sifariş: icarəçilər dərhal sifariş edir. Hər sorğunu özünüz təsdiqləmək üçün söndürün.,"Мгновенная бронь: арендаторы бронируют сразу. Выключите, чтобы одобрять каждую заявку самостоятельно."
Insurance & fines,Sığorta və cərimələr,Страховка и штрафы
Insurance (OSAGO),Sığorta (İCBS),Страховка (ОСАГО)
Invite a colleague,Həmkar dəvət et,Пригласить коллегу
Invite friends,Dostları dəvət et,Пригласить друзей
Invoice e-mail,Hesab-faktura e-poçtu,Почта для счетов
Invoice · August,Hesab-faktura · avqust,Счёт · август
Invoice · September,Hesab-faktura · sentyabr,Счёт · сентябрь
Invoices,Hesab-fakturalar,Счета
Invoices with VÖEN,VÖEN ilə hesab-faktura,Счета с VÖEN
I’ll wait near the arrivals exit.,Gəliş çıxışının yanında gözləyəcəyəm.,Буду ждать у выхода прилёта.
Just for me,Yalnız özüm üçün,Только для себя
Keep booking,Sifarişi saxla,Оставить бронь
Keep request,Sorğunu saxla,Оставить заявку
Keep reservation,Rezervi saxla,Оставить резерв
Keep the whole front of the car in the frame.,Avtomobilin bütün önü kadrda olsun.,Держите весь перед машины в кадре.
Keep the whole front of the cart in the frame.,Karın bütün önü kadrda olsun.,Держите весь перед карта в кадре.
Keep the whole rear of the car in the frame.,Avtomobilin bütün arxası kadrda olsun.,Держите весь зад машины в кадре.
Language,Dil,Язык
Left,Sol,Слева
Left side,Sol tərəf,Левая сторона
Leyla usually replies within 24 h. You’re charged only if she accepts.,Leyla adətən 24 saat ərzində cavab verir. Ödəniş yalnız o qəbul etsə alınır.,Лейла обычно отвечает в течение 24 ч. Оплата — только если она примет.
Leyla · Baku,Leyla · Bakı,Лейла · Баку
Leyla · McLaren 650S · Sat 10:00,Leyla · McLaren 650S · Şn 10:00,Лейла · McLaren 650S · Сб 10:00
Licence photo is blurry,Vəsiqənin fotosu bulanıqdır,Фото прав размыто
Light,Açıq,Светлое
List your car,Avtomobilinizi yerləşdirin,Разместить машину
Live offer · 1 seat · ₼35,Aktiv təklif · 1 yer · ₼35,Активно · 1 место · ₼35
Live · ₼120 / day,Aktiv · ₼120 / gün,Активно · ₼120 / сутки
Location is off,Məkan bağlıdır,Геолокация выключена
Locked,Bağlı,Закрыто
MM/YY,AA/İİ,ММ/ГГ
Make,Marka,Марка
Manage your offers and passenger requests.,Təkliflərinizi və sərnişin sorğularını idarə edin.,Управляйте предложениями и заявками пассажиров.
Mastercard •••• 0780,Mastercard •••• 0780,Mastercard •••• 0780
Meet Hasan Nabiyev to collect the keys.,Açarları götürmək üçün Həsən Nəbiyevlə görüşün.,"Встретьтесь с Гасаном Набиевым, чтобы забрать ключи."
Meet at,Görüş yeri,Место встречи
Mercedes-AMG GT · 22–23 Sep,Mercedes-AMG GT · 22–23 sen,Mercedes-AMG GT · 22–23 сен
Message,Mesaj,Написать
Message Aysel,Aysel-ə yaz,Написать Айсель
Message support,Dəstəyə yaz,Написать в поддержку
Mileage,Yürüş,Пробег
Minutes reset on the 24th. Unused minutes don’t roll over.,Dəqiqələr ayın 24-də yenilənir. İstifadə olunmayan dəqiqələr keçmir.,Минуты обновляются 24-го числа. Неиспользованные не переносятся.
Missing an AzParking sign photo: ₼20. Traffic and parking fines are charged at cost.,AzParking nişanının fotosu yoxdursa: ₼20. Yol və parkinq cərimələri faktiki məbləğlə alınır.,Нет фото знака AzParking: ₼20. Штрафы ПДД и за парковку — по факту.
Mobile wallet · top-ups,Mobil pul kisəsi · artırma,Мобильный кошелёк · пополнение
Model,Model,Модель
Mon 28 · 10:00,B.e. 28 · 10:00,Пн 28 · 10:00
Monthly,Aylıq,Месяц
Monthly · on the 5th,Aylıq · ayın 5-də,Ежемесячно · 5-го числа
Monthly · until 24 Oct,Aylıq · 24 okt-a qədər,Месяц · до 24 окт
"Move inside the service area and park in a permitted space, then end the ride.","Xidmət zonasına keçin, icazəli yerdə park edin, sonra gedişi bitirin.","Заедьте в зону обслуживания, припаркуйтесь в разрешённом месте и завершите поездку."
Move the map so the pin sits exactly where the car is parked. Renters see the pin only after booking.,"Xəritəni elə sürüşdürün ki, pin avtomobilin park yerində olsun. İcarəçilər pini yalnız sifarişdən sonra görür.","Сдвиньте карту, чтобы метка стояла точно на месте парковки. Арендаторы увидят её только после брони."
MyGov didn’t finish,MyGov tamamlanmadı,MyGov не завершён
NA,NƏ,НА
NOTE,QEYD,ПРИМЕЧАНИЕ
Name,Ad,Имя
Need help? Message Support,Kömək lazımdır? Dəstəyə yazın,Нужна помощь? Напишите в поддержку
Needed before your first trip. MyGov does it in one tap.,İlk səfərdən əvvəl lazımdır. MyGov bunu bir toxunuşla edir.,Нужно до первой поездки. MyGov сделает это в одно касание.
Needs you,Diqqət tələb edir,Требует внимания
"Neftchilar Ave 12, Sahil","Neftçilər pr. 12, Sahil","пр. Нефтчиляр 12, Сахил"
New booking request,Yeni sifariş sorğusu,Новая заявка на бронь
New end time · 15:30,Yeni bitmə vaxtı · 15:30,Новое время окончания · 15:30
New return time · 18:00,Yeni qaytarma vaxtı · 18:00,Новое время возврата · 18:00
New total ₼76,Yeni cəm ₼76,Новый итог ₼76
Newest first,Əvvəlcə yenilər,Сначала новые
News,Xəbərlər,Новости
Next times,Növbəti hallar,В следующие разы
Nigar Aliyeva,Nigar Əliyeva,Нигяр Алиева
Nigar · Baku,Nigar · Bakı,Нигяр · Баку
Nigar · Ford Mustang GT,Nigar · Ford Mustang GT,Нигяр · Ford Mustang GT
Nigar · Ford Mustang GT · Sat 09:00,Nigar · Ford Mustang GT · Şn 09:00,Нигяр · Ford Mustang GT · Сб 09:00
Nizami Aliyev,Nizami Əliyev,Низами Алиев
Nizami St. 12,Nizami küç. 12,ул. Низами 12
No QR code? Type the 6-character code under it.,QR kod yoxdur? Altındakı 6 simvollu kodu yazın.,Нет QR-кода? Введите 6-значный код под ним.
No SUVs free on 28–29 Sep,28–29 sen üçün boş SUV yoxdur,Нет свободных SUV на 28–29 сен
No cars match these filters,Bu filtrlərə uyğun avtomobil yoxdur,Нет машин по этим фильтрам
"No cars yet? This card shows what a car like yours could earn: about ₼440 a week, ₼1,890 a month.","Hələ avtomobil yoxdur? Bu kart sizinki kimi avtomobilin nə qazana biləcəyini göstərir: həftədə təxminən ₼440, ayda ₼1,890.","Пока нет машин? Эта карточка показывает доход похожей машины: около ₼440 в неделю, ₼1,890 в месяц."
No charge,Ödəniş yoxdur,Без оплаты
No connection,Bağlantı yoxdur,Нет соединения
No free cars within 1 km,1 km radiusda boş avtomobil yoxdur,Нет свободных машин в радиусе 1 км
No matches,Nəticə yoxdur,Ничего не найдено
No rides Baku → Lankaran on Sat,Şənbə Bakı → Lənkəran gedişi yoxdur,Нет поездок Баку → Ленкорань в субботу
No rides match your filters,Filtrlərinizə uyğun gediş yoxdur,Нет поездок по вашим фильтрам
No trips yet,Hələ səfər yoxdur,Поездок пока нет
None,Yoxdur,Нет
Not now,İndi yox,Не сейчас
Note from Aysel,Aysel-in qeydi,Комментарий Айсель
Notifications,Bildirişlər,Уведомления
Notify me,Mənə xəbər ver,Уведомить меня
Now · about 25 min,İndi · təxminən 25 dəq,Сейчас · около 25 мин
OK,OK,OK
On a trip with Aysel,Aysel ilə səfərdədir,В поездке с Айсель
On my way,Yoldayam,Уже еду
On the way,Yoldadır,В пути
"Once, before your first transfer","Bir dəfə, ilk transferdən əvvəl","Один раз, перед первым трансфером"
"One list for the whole app. A place saved here shows up in every place picker: EV delivery and drivers, Golf drivers, Transfer pickup and car delivery. Tap a place to use it here.","Bütün tətbiq üçün bir siyahı. Burada saxlanan məkan hər seçimdə görünür: EV çatdırılması və sürücülər, Qolf sürücüləri, Transfer götürməsi və avtomobil çatdırılması. İstifadə etmək üçün məkana toxunun.","Один список для всего приложения. Сохранённое место появится в каждом выборе: доставка EV и водители, водители гольф-каров, посадка в трансфере и доставка машины. Нажмите на место, чтобы выбрать."
Ongoing,Davam edir,Идёт
Open Settings,Ayarları aç,Открыть Настройки
Other,Digər,Другое
PAPERS,SƏNƏDLƏR,ДОКУМЕНТЫ
PHONE NUMBER,TELEFON NÖMRƏSİ,НОМЕР ТЕЛЕФОНА
PHOTOS,FOTOLAR,ФОТО
PRICE,QİYMƏT,ЦЕНА
Paid,Ödənildi,Оплачено
Paid 5 Sep · 11 rides,Ödənildi 5 sen · 11 gediş,Оплачено 5 сен · 11 поездок
Paid from Wallet. The receipt is in Trips.,Pul kisəsindən ödənildi. Qəbz Səfərlərdədir.,Оплачено из Кошелька. Чек — в Поездках.
"Paid from your Wallet, then your card. Package minutes go first; unused minutes expire at the end of the period.","Əvvəl Pul kisəsindən, sonra kartdan ödənilir. Əvvəl paket dəqiqələri gedir; istifadə olunmayanlar dövrün sonunda bitir.","Оплата с Кошелька, затем с карты. Сначала тратятся минуты пакета; неиспользованные сгорают в конце срока."
Parking & additional charges,Parkinq və əlavə ödənişlər,Парковка и доп. платежи
Parking sign,Parkinq nişanı,Знак парковки
Parking warning,Parkinq xəbərdarlığı,Предупреждение о парковке
"Parking warning · no fee this time
Rentbutik EV 6 · left outside the zone","Parkinq xəbərdarlığı · bu dəfə ödənişsiz
Rentbutik EV 6 · zonadan kənarda qalıb","Предупреждение о парковке · в этот раз без штрафа
Rentbutik EV 6 · оставлен вне зоны"
Passenger request,Sərnişin sorğusu,Заявка пассажира
Passengers,Sərnişinlər,Пассажиры
Past 2 weeks,Son 2 həftə,Последние 2 недели
Pause listing,Elanı dayandır,Приостановить
Pay with,Ödəniş üsulu,Оплата
Payment failed,Ödəniş alınmadı,Оплата не прошла
Payment methods,Ödəniş üsulları,Способы оплаты
Payment question,Ödəniş sualı,Вопрос по оплате
People,Nəfər,Человек
Personal,Şəxsi,Личный
Petrol,Benzin,Бензин
Phone,Telefon,Телефон
Photos saved · no new damage,Fotolar saxlanıldı · yeni zədə yoxdur,Фото сохранены · новых повреждений нет
Pick up at the Golf desk,Qolf masasından götürün,Получение у стойки гольфа
Pick up at the Sea Breeze Golf desk,Sea Breeze Qolf masasından götürün,Получение у стойки гольфа Sea Breeze
Pick-up,Götürmə,Получение
Pickup,Götürmə yeri,Посадка
Pickup & return,Götürmə və qaytarma,Получение и возврат
Pickup today,Bu gün təhvil,Передача сегодня
"Pickup · Baku, Sahil","Götürmə · Bakı, Sahil","Получение · Баку, Сахил"
Pickup · Nizami St. 12,Götürmə · Nizami küç. 12,Посадка · ул. Низами 12
Pinned,Bərkidilmiş,Закреплённые
Places,Məkanlar,Места
Plan,Plan,План
Plate number,Dövlət nömrəsi,Госномер
Porsche 911 GT3 RS held for you · 19:48,Porsche 911 GT3 RS sizin üçün saxlanılır · 19:48,Porsche 911 GT3 RS держим для вас · 19:48
Porsche 911 GT3 RS held for you · 22:10,Porsche 911 GT3 RS sizin üçün saxlanılır · 22:10,Porsche 911 GT3 RS держим для вас · 22:10
Porsche 911 GT3 RS held for you · 29:41,Porsche 911 GT3 RS sizin üçün saxlanılır · 29:41,Porsche 911 GT3 RS держим для вас · 29:41
Post a transfer,Transfer yerləşdir,Разместить трансфер
Post rides and tours with your car,Avtomobilinizlə gediş və turlar yerləşdirin,Размещайте поездки и туры на своей машине
Pre-trip photos,Səfərdən əvvəl fotolar,Фото до поездки
Price range,Qiymət aralığı,Диапазон цен
Price · per seat and whole car,Qiymət · yer və bütün avtomobil,Цена · за место и за машину
Price: High to Low,Qiymət: bahadan ucuza,Цена: по убыванию
Price: Low to High,Qiymət: ucuzdan bahaya,Цена: по возрастанию
Privacy policy,Məxfilik siyasəti,Политика конфиденциальности
Profile,Profil,Профиль
Promo,Promo,Промо
Publish listing,Elanı dərc et,Опубликовать
Publish transfer,Transferi dərc et,Опубликовать трансфер
Push notifications,Push bildirişlər,Push-уведомления
Push · Trip updates,Push · Səfər yenilikləri,Push · Новости поездок
QR code on the windscreen,QR kod ön şüşədədir,QR-код на лобовом стекле
Rashad can’t host on these dates. Nothing was charged.,Rəşad bu tarixlərdə verə bilmir. Heç nə tutulmayıb.,Рашад не может сдать в эти даты. Деньги не списаны.
Rashad · Baku,Rəşad · Bakı,Рашад · Баку
Rashad · Porsche 911 GT3 RS · Sun 08:00,Rəşad · Porsche 911 GT3 RS · B. 08:00,Рашад · Porsche 911 GT3 RS · Вс 08:00
Rate this rental,İcarəni qiymətləndir,Оцените аренду
Rate this trip,Səfəri qiymətləndir,Оцените поездку
Rate your driver,Sürücünü qiymətləndir,Оцените водителя
Ready for pickup,Təhvilə hazırdır,Готово к передаче
Rear,Arxa,Зад
Rear of the car,Avtomobilin arxası,Зад машины
Reason: Car unavailable,Səbəb: avtomobil mövcud deyil,Причина: машина недоступна
Receipt,Qəbz,Чек
Recent,Son,Недавние
Refund,Geri qaytarma,Возврат
Refund · Porsche,Geri qaytarma · Porsche,Возврат · Porsche
Refunds,Qaytarmalar,Возвраты
Register with documents,Sənədlərlə qeydiyyat,Регистрация по документам
"Rent a car by day, week or month","Günlük, həftəlik və ya aylıq icarə","Аренда на день, неделю или месяц"
Rent cars from local hosts.,Yerli sahibkarlardan avtomobil icarə edin.,Арендуйте машины у местных владельцев.
Rental,İcarə,Аренда
Rental complete,İcarə bitdi,Аренда завершена
"Rental completed
Mercedes-AMG GT · 1 day · ₼499","İcarə bitdi
Mercedes-AMG GT · 1 gün · ₼499","Аренда завершена
Mercedes-AMG GT · 1 сутки · ₼499"
Rental · 1 day,İcarə · 1 gün,Аренда · 1 сутки
Rental ₼380 · Service fee ₼19,İcarə ₼380 · Xidmət haqqı ₼19,Аренда ₼380 · Комиссия ₼19
Rentbutik EV 3 · Rashad · 32 min,Rentbutik EV 3 · Rəşad · 32 dəq,Rentbutik EV 3 · Рашад · 32 мин
Rentbutik EV 3 · about 5 min away,Rentbutik EV 3 · təxminən 5 dəq uzaqda,Rentbutik EV 3 · примерно в 5 мин
Rentbutik EV 6 · 18 Sep · Sahil,Rentbutik EV 6 · 18 sen · Sahil,Rentbutik EV 6 · 18 сен · Сахил
Rentbutik EV 6 · Sahil → 28 May street,Rentbutik EV 6 · Sahil → 28 May küçəsi,Rentbutik EV 6 · Сахил → ул. 28 Мая
Rentbutik Support,Rentbutik Dəstək,Поддержка Rentbutik
Rentbutik may review chats to keep everyone safe.,Hamının təhlükəsizliyi üçün Rentbutik söhbətləri yoxlaya bilər.,Rentbutik может проверять чаты ради безопасности.
Renter,İcarəçi,Аренда авто
Renters can add these when they book.,İcarəçilər bunları sifariş zamanı əlavə edə bilər.,Арендаторы могут добавить это при бронировании.
Reply within 24 h,24 saat ərzində cavab verin,Ответьте в течение 24 ч
Report,Şikayət et,Пожаловаться
Report Hasan?,Həsəndən şikayət edilsin?,Пожаловаться на Гасана?
Report Hasan…,Həsəndən şikayət et…,Пожаловаться на Гасана…
Report a problem,Problem bildir,Сообщить о проблеме
Request delivery · ₼5,Çatdırılma sifariş et · ₼5,Заказать доставку · ₼5
Request driver · about ₼35,Sürücü çağır · təxminən ₼35,Вызвать водителя · около ₼35
Reserved,Rezerv edildi,Зарезервировано
Retake photo,Yenidən çək,Переснять
Retake the back of your driving licence. Everything else is fine.,Sürücülük vəsiqəsinin arxasını yenidən çəkin. Qalan hər şey qaydasındadır.,Переснимите оборот прав. Остальное в порядке.
Return,Qaytarma,Возврат
Return by 16:00 · 2-hour rental,16:00-a qədər qaytarın · 2 saatlıq icarə,Вернуть до 16:00 · аренда на 2 часа
Return cart,Karı qaytar,Вернуть карт
Return photos,Qaytarma fotoları,Фото при возврате
Return to the Golf desk by 16:00,16:00-a qədər Qolf masasına qaytarın,Верните к стойке гольфа до 16:00
"Returns 26 Sep, 10:00","Qaytarılır 26 sen, 10:00","Вернётся 26 сен, 10:00"
Review pickup details,Götürmə detallarına baxın,Проверьте детали посадки
Review the dates and pickup details before accepting.,Qəbul etməzdən əvvəl tarixlərə və götürmə detallarına baxın.,Проверьте даты и детали получения перед принятием.
Ride complete,Gediş bitdi,Поездка завершена
Ride · 2 hours,Gediş · 2 saat,Поездка · 2 часа
Ride · hour tariff,Gediş · saatlıq tarif,Поездка · почасовой тариф
Rides,Gedişlər,Поездки
Rides & tours from Baku,Bakıdan gedişlər və turlar,Поездки и туры из Баку
Riding now,İndi yoldadır,В поездке
Right,Sağ,Справа
Right side,Sağ tərəf,Правая сторона
Route,Marşrut,Маршрут
Running 5 min late,5 dəq gecikirəm,Опаздываю на 5 мин
Sahil → 28 May street,Sahil → 28 May küçəsi,Сахил → ул. 28 Мая
"Sahil, Baku","Sahil, Bakı","Сахил, Баку"
Save card,Kartı saxla,Сохранить карту
Saved,Saxlanılanlar,Избранное
Saved so far,İndiyədək qənaət,Сэкономлено
Scan to unlock,Açmaq üçün skan edin,"Сканируйте, чтобы открыть"
Scanning…,Skan edilir…,Сканирование…
Sea Breeze Golf desk,Sea Breeze Qolf masası,Стойка гольфа Sea Breeze
Search,Axtarış,Поиск
Seats,Yerlər,Места
Seats & luggage,Yerlər və baqaj,Места и багаж
Security code,Təhlükəsizlik kodu,Код безопасности
Sedan,Sedan,Седан
"Sedan, SUV","Sedan, SUV","Седан, SUV"
See all,Hamısı,Все
Selfie,Selfi,Селфи
Selfie with your ID,Vəsiqə ilə selfi,Селфи с удостоверением
Send code,Kodu göndər,Отправить код
Send request,Sorğu göndər,Отправить заявку
September,Sentyabr,Сентябрь
September 2026,Sentyabr 2026,Сентябрь 2026
Service fee,Xidmət haqqı,Комиссия
Share invite link,Dəvət linkini paylaş,Поделиться ссылкой
Share link,Linki paylaş,Поделиться
Share trip,Səfəri paylaş,Поделиться поездкой
She’ll be told the car isn’t available for 24–26 Sep.,Ona 24–26 sen üçün avtomobilin olmadığı bildiriləcək.,"Ей сообщат, что машина недоступна 24–26 сен."
Show 5 cars · 28–29 Sep,5 avtomobil göstər · 28–29 sen,Показать 5 машин · 28–29 сен
Show all 4,Hamısı (4),Показать все (4)
Show all 6,Hamısı (6),Показать все (6)
Show booking G042 at the Sea Breeze Golf desk.,G042 sifarişini Sea Breeze Qolf masasında göstərin.,Покажите бронь G042 у стойки гольфа Sea Breeze.
Show the parking sign or zone marking next to the car.,Avtomobilin yanındakı parkinq nişanını və ya zona işarəsini göstərin.,Покажите знак парковки или разметку зоны рядом с машиной.
Show the seats and the dashboard.,Oturacaqları və paneli göstərin.,Покажите сиденья и приборную панель.
Sign,Nişan,Знак
Sign in,Daxil ol,Войти
Sign in with a glance instead of a code.,Kod əvəzinə bir baxışla daxil olun.,Входите взглядом вместо кода.
Sign in with your phone number. No documents needed.,Telefon nömrənizlə daxil olun. Sənəd lazım deyil.,Войдите по номеру телефона. Документы не нужны.
Sign out,Çıxış,Выйти
Sign out of Rentbutik?,Rentbutik-dən çıxılsın?,Выйти из Rentbutik?
Similar cars in Baku: ₼110–130,Bakıda oxşar avtomobillər: ₼110–130,Похожие машины в Баку: ₼110–130
Slide to cancel request,Ləğv etmək üçün sürüşdürün,"Сдвиньте, чтобы отменить"
Slide to end,Bitirmək üçün sürüşdürün,"Сдвиньте, чтобы завершить"
Sort,Sırala,Сортировка
Special occasion,Xüsusi hadisə,Особый случай
Specs & features,Xüsusiyyətlər,Характеристики
Spent this month,Bu ay xərclənib,Потрачено за месяц
Sports car,İdman avtomobili,Спорткар
Start,Başla,Старт
Start · 2 days · ₼180,Başla · 2 gün · ₼180,Старт · 2 суток · ₼180
Start · ₼30,Başla · ₼30,Старт · ₼30
Start · ₼38,Başla · ₼38,Старт · ₼38
Start · ₼50,Başla · ₼50,Старт · ₼50
Step 1 of 2 · About a minute.,Addım 1 / 2 · Təxminən bir dəqiqə.,Шаг 1 из 2 · Около минуты.
Step 1 of 2 · Company account,Addım 1 / 2 · Şirkət hesabı,Шаг 1 из 2 · Аккаунт компании
Step 1 of 4 · Your car,Addım 1 / 4 · Avtomobiliniz,Шаг 1 из 4 · Ваша машина
Step 2 of 4 · Photos & features,Addım 2 / 4 · Fotolar və xüsusiyyətlər,Шаг 2 из 4 · Фото и особенности
Step 3 of 4 · Where & when,Addım 3 / 4 · Harada və nə vaxt,Шаг 3 из 4 · Где и когда
Step 4 of 4 · Price & extras,Addım 4 / 4 · Qiymət və əlavələr,Шаг 4 из 4 · Цена и дополнения
Step back so the whole left side fits.,Bütün sol tərəf sığsın deyə geri çəkilin.,"Отойдите, чтобы вошла вся левая сторона."
Step back so the whole right side fits.,Bütün sağ tərəf sığsın deyə geri çəkilin.,"Отойдите, чтобы вошла вся правая сторона."
Support,Dəstək,Поддержка
Support · Here for you,Dəstək · Hər zaman yanınızda,Поддержка · Всегда на связи
Support · usually replies in 5 min,Dəstək · adətən 5 dəq-yə cavab verir,Поддержка · обычно отвечает за 5 мин
System,Sistem,Системное
Take 120 minutes · ₼25,120 dəqiqə al · ₼25,Взять 120 минут · ₼25
"Take 3,000 minutes · ₼420","3,000 dəqiqə al · ₼420","Взять 3,000 минут · ₼420"
Take 600 minutes · ₼108,600 dəqiqə al · ₼108,Взять 600 минут · ₼108
Tap a row to see its receipt.,Qəbzi görmək üçün sətrə toxunun.,"Нажмите строку, чтобы открыть чек."
Tap an invoice to share the PDF. Invoices go to accounts@company.az on the 5th.,PDF-i paylaşmaq üçün hesab-fakturaya toxunun. Hesab-fakturalar ayın 5-də accounts@company.az ünvanına gedir.,"Нажмите счёт, чтобы поделиться PDF. Счета приходят на accounts@company.az 5-го числа."
Tap everything your car has. Renters filter by these.,Avtomobilinizdə olan hər şeyi seçin. İcarəçilər bunlarla filtrləyir.,"Отметьте всё, что есть в машине. Арендаторы фильтруют по этому."
Tap to make default · swipe to remove,Əsas etmək üçün toxunun · silmək üçün sürüşdürün,"Нажмите, чтобы сделать основной · смахните, чтобы удалить"
Tap to scan,Skan üçün toxunun,Нажмите для скана
Team,Komanda,Команда
Technical inspection,Texniki baxış,Техосмотр
"Tell renters what makes your car special, and what is and isn’t allowed in it.","İcarəçilərə avtomobilinizin nə ilə fərqləndiyini və orada nəyin olar, nəyin olmaz olduğunu yazın.","Расскажите арендаторам, чем особенна машина и что в ней можно и нельзя."
Tell us what happened. We will help you with the next step.,Nə baş verdiyini yazın. Növbəti addımda kömək edəcəyik.,"Расскажите, что случилось. Мы поможем со следующим шагом."
Terminal 1 · arrivals exit,Terminal 1 · gəliş çıxışı,Терминал 1 · выход прилёта
Terms of service · Privacy policy,İstifadə şərtləri · Məxfilik siyasəti,Условия использования · Конфиденциальность
"Thanks, see you at the pickup point.","Sağ olun, götürmə yerində görüşərik.","Спасибо, увидимся на месте встречи."
The Mercedes is ready for your trip.,Mercedes səfərinizə hazırdır.,Mercedes готов к поездке.
The Sea Breeze team picks you up and drives.,Sea Breeze komandası sizi götürür və aparır.,Команда Sea Breeze заберёт и отвезёт вас.
"The more minutes you take, the less each minute costs.","Nə qədər çox dəqiqə alsanız, hər dəqiqə bir o qədər ucuz olur.","Чем больше минут, тем дешевле каждая минута."
This is your 1st warning — no fee this time.,"Bu, ilk xəbərdarlığınızdır — bu dəfə ödənişsiz.",Это первое предупреждение — в этот раз без штрафа.
This trip ended on 23 Sep · the chat is read-only,Bu səfər 23 sen-da bitib · söhbət yalnız oxunur,Поездка завершилась 23 сен · чат только для чтения
Today,Bu gün,Сегодня
Today 18:00 · 1 seat · Hasan,Bu gün 18:00 · 1 yer · Həsən,Сегодня 18:00 · 1 место · Гасан
Today · 09:12,Bu gün · 09:12,Сегодня · 09:12
Today · 09:41,Bu gün · 09:41,Сегодня · 09:41
Today · 18:00 · about 35 min,Bu gün · 18:00 · təxminən 35 dəq,Сегодня · 18:00 · около 35 мин
Today · 2 hours · Sea Breeze,Bu gün · 2 saat · Sea Breeze,Сегодня · 2 часа · Sea Breeze
"Today, 10:00 · Baku, Sahil","Bu gün, 10:00 · Bakı, Sahil","Сегодня, 10:00 · Баку, Сахил"
"Today, 10:00 · Sahil, Baku","Bu gün, 10:00 · Sahil, Bakı","Сегодня, 10:00 · Сахил, Баку"
Tools,Alətlər,Инструменты
Top up,Artır,Пополнить
Top up · Visa,Artırma · Visa,Пополнение · Visa
Top-ups,Artırmalar,Пополнения
Total,Cəmi,Итого
Total paid,Cəmi ödənilib,Всего оплачено
Total paid from Wallet,Pul kisəsindən cəmi ödənilib,Всего оплачено из Кошелька
Transfer,Transfer,Трансфер
Transfers,Transferlər,Трансферы
Transmission,Ötürmə qutusu,Коробка передач
Trip ended,Səfər bitdi,Поездка завершена
Trip history,Səfər tarixçəsi,История поездок
Trip updates,Səfər yenilikləri,Новости поездок
Trips,Səfərlər,Поездки
"Try a lower seat count or another car type, or clear your filters.","Daha az yer və ya başqa avtomobil növü seçin, ya da filtrləri təmizləyin.",Выберите меньше мест или другой тип машины либо сбросьте фильтры.
Try again,Yenidən cəhd et,Повторить
"Try again, or register with your documents instead.",Yenidən cəhd edin və ya sənədlərlə qeydiyyatdan keçin.,Повторите или зарегистрируйтесь по документам.
Tue 29 · 10:00,Ç.a. 29 · 10:00,Вт 29 · 10:00
Turn on,Aç,Включить
Turn on mobile internet or join Wi-Fi. Your trips and messages are saved and sync the moment you reconnect.,"Mobil interneti açın və ya Wi-Fi-a qoşulun. Səfərləriniz və mesajlarınız saxlanılır, bağlantı bərpa olunanda sinxronlaşır.",Включите мобильный интернет или Wi-Fi. Поездки и сообщения сохранены и синхронизируются при подключении.
Type the code,Kodu yazın,Ввести код
Unlock,Açmaq,Разблокировка
Unlocked,Açıqdır,Открыто
Until 14:30 · Hour tariff · capped at ₼60 today,14:30-a qədər · Saatlıq tarif · bu gün maks. ₼60,До 14:30 · Почасовой тариф · не больше ₼60 сегодня
Upcoming,Qarşıdakı,Предстоящие
Use Face ID,Face ID istifadə et,Использовать Face ID
Use Face ID next time?,Növbəti dəfə Face ID istifadə edilsin?,Использовать Face ID в следующий раз?
Used this month,Bu ay istifadə olunub,Использовано за месяц
Usually a few minutes. We’ll notify you the moment you’re verified.,Adətən bir neçə dəqiqə. Təsdiqlənən kimi xəbər verəcəyik.,"Обычно несколько минут. Сообщим, как только проверим."
Valid until 2031,2031-ə qədər etibarlıdır,Действительны до 2031
Vehicle condition,Avtomobilin vəziyyəti,Состояние машины
Vehicle registration,Qeydiyyat şəhadətnaməsi,Свидетельство о регистрации
Verified,Təsdiqlənib,Подтверждено
Verified · MyGov,Təsdiqlənib · MyGov,Подтверждено · MyGov
"Verify once, ride anytime","Bir dəfə təsdiqlə, istənilən vaxt sür",Подтвердите один раз — ездите всегда
Verifying documents,Sənədlər yoxlanılır,Проверка документов
Visa •••• 4242 was declined. Nothing was charged — pay with Wallet or another card.,Visa •••• 4242 rədd edildi. Heç nə tutulmayıb — Pul kisəsi və ya başqa kartla ödəyin.,Visa •••• 4242 отклонена. Деньги не списаны — оплатите Кошельком или другой картой.
"Visa, Mastercard or a local card","Visa, Mastercard və ya yerli kart","Visa, Mastercard или местная карта"
Waiting for driver,Sürücü gözlənilir,Ждём водителя
Waiting for host,Sahibkar gözlənilir,Ждём владельца
Wallet,Pul kisəsi,Кошелёк
"Wallet top-up completed
₼50 added to your balance","Pul kisəsi artırıldı
Balansınıza ₼50 əlavə olundu","Кошелёк пополнен
На баланс добавлено ₼50"
Wallet · ₼537.45,Pul kisəsi · ₼537.45,Кошелёк · ₼537.45
We answer fast,Tez cavab veririk,Отвечаем быстро
We bring Rentbutik EV 6 to your door.,Rentbutik EV 6-nı qapınıza gətiririk.,Привезём Rentbutik EV 6 к вашей двери.
